# Time(ns) B(a.u.) 
-2584.99 -7.26157e-05
-2583.76 -0.000109755
-2582.49 -3.15212e-05
-2581.26 -4.35686e-05
-2579.99 -3.67135e-05
-2578.76 -0.000106633
-2577.49 7.63144e-05
-2576.26 -5.35468e-05
-2574.99 4.90413e-05
-2573.76 5.70234e-05
-2572.49 -2.25042e-05
-2571.26 -4.66503e-05
-2569.99 4.55531e-05
-2568.76 1.79844e-05
-2567.49 -1.90817e-05
-2566.26 -6.75114e-05
-2564.99 1.24365e-06
-2563.76 1.44691e-06
-2562.49 9.33686e-06
-2561.26 -6.50354e-05
-2559.99 4.63106e-05
-2558.76 -2.28142e-05
-2557.49 7.988e-06
-2556.26 -3.4954e-05
-2554.99 2.57265e-05
-2553.76 -7.0634e-05
-2552.49 6.7523e-05
-2551.26 4.19498e-05
-2549.99 -3.2204e-06
-2548.76 -2.77846e-05
-2547.49 2.86275e-05
-2546.26 -3.64253e-05
-2544.99 5.5667e-05
-2543.76 4.84054e-05
-2542.49 2.99646e-05
-2541.26 -4.84912e-05
-2539.99 7.25553e-05
-2538.76 -1.53963e-06
-2537.49 5.51495e-05
-2536.26 6.20249e-06
-2534.99 1.62912e-05
-2533.76 -1.22751e-05
-2532.49 0.000146318
-2531.26 1.96541e-05
-2529.99 7.10957e-05
-2528.76 3.51568e-05
-2527.49 2.07813e-05
-2526.26 7.31113e-06
-2524.99 9.95142e-05
-2523.76 -3.71829e-05
-2522.49 2.4717e-05
-2521.26 2.51604e-05
-2519.99 -1.22381e-05
-2518.76 -1.58228e-05
-2517.49 7.03936e-05
-2516.26 -4.36131e-05
-2514.99 5.23964e-05
-2513.76 -4.16344e-06
-2512.49 9.23817e-05
-2511.26 2.07443e-05
-2509.99 0.000129485
-2508.76 6.85089e-05
-2507.49 5.40411e-05
-2506.26 -8.32091e-06
-2504.99 5.27106e-05
-2503.76 -5.75083e-05
-2502.49 5.11401e-05
-2501.26 -4.98583e-05
-2499.99 7.97633e-06
-2498.76 -7.81294e-05
-2497.49 -1.04073e-06
-2496.26 -8.47997e-05
-2494.99 1.38522e-05
-2493.76 -1.20718e-05
-2492.49 4.05907e-06
-2491.26 -4.1599e-05
-2489.99 -6.19427e-05
-2488.76 -2.23639e-05
-2487.49 2.54191e-05
-2486.26 -3.09174e-06
-2484.99 -4.76389e-05
-2483.76 -2.20477e-05
-2482.49 -1.14786e-05
-2481.26 -6.80754e-05
-2479.99 3.12045e-05
-2478.76 -4.9912e-05
-2477.49 3.56214e-06
-2476.26 -9.1782e-05
-2474.99 1.269e-05
-2473.76 -3.03996e-05
-2472.49 5.55396e-05
